Entity,Code,Year,Mismanagedplasticwaste
East Asia and Pacific,,2010,60
South Asia,,2010,11
Sub-Saharan Africa,,2010,8.9
Middle East and North Africa,,2010,8.3
Latin America and Caribbean,,2010,7.2
Europe and Central Asia,,2010,3.6
North America,,2010,0.9
